YEAR,MILEAGE,FAULT
2014,91280,Loop Service
2014,94743,Loop Service
2014,7831,General Repair
2014,50345,Loop Service
2014,42286,Loop Service
2014,38507,General Repair
2014,23196,Loop Service
2014,15162,General Repair
2014,90134,General Repair
2014,37112,Loop Service
2014,50470,Loop Service
2014,101288,Loop Service
2014,13644,General Repair
2014,85965,Loop Service
2014,44489,Loop Service
2014,18653,General Repair
2014,29604,Loop Service
2014,53965,General Repair
2014,69013,General Repair
2014,18537,General Repair
2014,21430,Loop Service
2014,39476,General Repair
2014,38003,Loop Service
2014,83687,Loop Service
2014,36174,General Repair
2014,13616,General Repair
2014,13616,Loop Service
2014,9459,Loop Service
2014,19773,General Repair
2014,40692,Loop Service
2014,9832,Loop Service
2014,24470,Loop Service
2014,11150,General Repair
2014,46316,Loop Service
2014,46716,Loop Service
2014,99602,Loop Service
2014,52851,Loop Service
2014,85001,Loop Service
2014,83203,General Repair
2014,159325,Loop Service
2014,56144,General Repair
2014,53353,Loop Service
2014,50739,Loop Service
2014,5648,General Repair
2014,51270,Loop Service
2014,37042,Loop Service
2014,6651,General Repair
2014,73659,General Repair
2014,32735,General Repair
2014,8328,General Repair
2014,1001,General Repair
2014,35013,Loop Service
2014,26108,Loop Service
2014,101680,Loop Service
2014,101680,Loop Service
2014,52526,General Repair
2014,46318,General Repair
2014,60055,Loop Service
2014,53100,Loop Service
2014,36515,General Repair
2014,36515,General Repair
2014,49436,Loop Service
2014,84747,Loop Service
2014,36557,General Repair
2014,70022,General Repair
2014,60714,Loop Service
2014,55488,Loop Service
2014,9122,Loop Service
2014,40657,Loop Service
2014,124,General Repair
2014,83479,General Repair
2014,40230,Loop Service
2014,62692,Loop Service
2014,11274,General Repair
2014,80106,Loop Service
2014,55602,Loop Service
2014,21982,Loop Service
2014,21982,General Repair
2014,26608,Loop Service
2014,48530,Loop Service
2014,28715,Loop Service
2014,57168,Loop Service
2014,40155,General Repair
2014,10951,General Repair
2014,80125,Loop Service
2014,7761,General Repair
2014,29777,Loop Service
2014,44928,Loop Service
2014,21626,Loop Service
2014,11279,Loop Service
2014,86861,Loop Service
2014,19869,Loop Service
2014,50044,Loop Service
2014,64672,Loop Service
2014,81098,Loop Service
2014,103115,Loop Service
2014,32781,Loop Service
2014,35450,General Repair
2014,80151,General Repair
2014,74961,Loop Service
2014,29110,General Repair
2014,98694,General Repair
2014,37180,Loop Service
2014,49105,General Repair
2014,3808,General Repair
2014,485279,Loop Service
2014,112150,Loop Service
2014,44462,Loop Service
2014,52151,General Repair
2014,28236,Loop Service
2014,6826,General Repair
2014,28077,General Repair
2014,22343,Loop Service
2014,36225,General Repair
2014,80790,Loop Service
2014,29561,General Repair
2014,55580,Loop Service
2014,49956,Loop Service
2014,18362,General Repair
2014,38502,Loop Service
2014,72877,Loop Service
2014,76835,Loop Service
2014,8815,General Repair
2014,18703,Loop Service
2014,44703,Loop Service
2014,55355,Loop Service
2014,33818,Loop Service
2014,75912,General Repair
2014,81795,Loop Service
2014,71575,Loop Service
2014,36426,Loop Service
2014,20957,General Repair
2014,73374,Loop Service
2014,25721,Loop Service
2014,38070,General Repair
2014,48719,Loop Service
2014,15850,Loop Service
2015,22891,Loop Service
2015,49009,Loop Service
2015,44221,Loop Service
2015,131,General Repair
2015,53948,General Repair
2015,33964,Loop Service
2015,39193,Loop Service
2015,42348,General Repair
2015,54810,General Repair
2015,68751,Loop Service
2015,75535,Loop Service
2015,45022,Loop Service
2015,8473,Loop Service
2015,22058,General Repair
2015,28459,Loop Service
2015,4130,General Repair
2015,80177,Loop Service
2015,35262,Loop Service
2015,54836,General Repair
2015,74619,Loop Service
2015,80274,Loop Service
2015,28287,Loop Service
2015,39946,Loop Service
2015,67734,Loop Service
2015,77983,Loop Service
2015,292,General Repair
2015,14924,Loop Service
2015,268,General Repair
2015,25723,Loop Service
2015,42635,Loop Service
2015,56248,Loop Service
2015,63000,General Repair
2015,115353,Loop Service
2015,53748,General Repair
2015,60747,Loop Service
2015,40470,Loop Service
2015,324,General Repair
2015,97219,Loop Service
2015,65029,Loop Service
2015,70040,Loop Service
2015,69,General Repair
2015,29401,Loop Service
2015,97290,General Repair
2015,15663,General Repair
2015,103529,Loop Service
2015,3327,General Repair
2015,82896,Loop Service
2015,316,General Repair
2015,185544,Loop Service
2015,40624,Loop Service
2015,46730,Loop Service
2015,59068,General Repair
2015,104415,Loop Service
2015,109329,Loop Service
2015,39795,Loop Service
2015,100352,Loop Service
2015,105814,Loop Service
2015,40026,Loop Service
2015,50137,Loop Service
2015,3283,General Repair
2015,16616,Loop Service
2015,97842,Loop Service
2015,52223,Loop Service
2015,12932,General Repair
2015,14151,General Repair
2015,45201,Loop Service
2015,37636,General Repair
2015,45777,Loop Service
2015,82365,Loop Service
2015,90234,Loop Service
2015,46074,Loop Service
2015,21817,Loop Service
2015,22797,Loop Service
2015,52103,Loop Service
2015,18990,General Repair
2015,17478,Loop Service
2015,13411,General Repair
2015,22054,Loop Service
2015,16956,Loop Service
2015,3933,General Repair
2015,40578,Loop Service
2015,2897,General Repair
2015,30939,Loop Service
2015,30726,General Repair
2015,43243,Loop Service
2015,53900,Loop Service
2015,66159,Loop Service
2015,2886,General Repair
2015,12308,General Repair
2015,40,General Repair
2015,37476,General Repair
2015,89506,Loop Service
2015,24741,Loop Service
2015,67505,Loop Service
2015,95989,Loop Service
2015,4606,General Repair
2015,15639,Loop Service
2015,26969,Loop Service
2015,1819,General Repair
2015,44738,Loop Service
2015,7619,General Repair
2015,36778,General Repair
2015,13719,Loop Service
2015,24150,Loop Service
2015,73726,General Repair
2015,73726,Loop Service
2015,7918,General Repair
2015,27,General Repair
2015,16426,Loop Service
2015,15519,Loop Service
2015,50006,Loop Service
2015,60757,General Repair
2015,7407,General Repair
2015,63068,Loop Service
2015,24594,Loop Service
2015,60088,General Repair
2015,3495,Loop Service
2015,48254,Loop Service
2015,126945,Loop Service
2015,53899,Loop Service
2015,79666,Loop Service
2015,6382,General Repair
2015,45016,Loop Service
2015,801,General Repair
2015,45470,General Repair
2015,65624,General Repair
2015,64179,Loop Service
2015,71519,Loop Service
2015,81141,Loop Service
2015,31999,Loop Service
2015,45142,Loop Service
2015,63940,General Repair
2015,42962,Loop Service
2015,37882,Loop Service
2015,1066,General Repair
2015,44536,Loop Service
2015,35341,Loop Service
2015,32283,General Repair
2015,16833,Loop Service
2015,68160,Loop Service
2015,13010,General Repair
2015,40305,Loop Service
2015,37983,Loop Service
2015,28098,Loop Service
2015,8059,General Repair
2015,28051,General Repair
2015,28051,General Repair
2015,60793,Loop Service
2015,537,General Repair
2015,35703,Loop Service
2015,11599,General Repair
2015,7565,General Repair
2015,31204,Loop Service
2015,73294,Loop Service
2015,23093,Loop Service
2015,138617,Loop Service
2015,41647,Loop Service
2015,52734,General Repair
2015,26109,General Repair
2015,16671,General Repair
2015,21270,General Repair
2015,13003,Loop Service
2015,19,General Repair
2015,57483,Loop Service
2015,152,General Repair
2015,27527,Loop Service
2015,5439,Loop Service
2015,25142,Loop Service
2015,60094,Loop Service
2015,40091,Loop Service
2015,9815,General Repair
2015,71753,Loop Service
2015,4836,Loop Service
2015,33317,General Repair
2015,60598,General Repair
2015,75300,Loop Service
2015,53656,Loop Service
2015,247,General Repair
2015,40029,Loop Service
2015,257,General Repair
2015,63611,Loop Service
2015,12000,Loop Service
2015,356,General Repair
2015,960,General Repair
2015,2697,General Repair
2015,797,General Repair
2015,42077,Loop Service
2015,16201,General Repair
2015,26114,Loop Service
2015,52788,Loop Service
2015,5190,General Repair
2015,31387,General Repair
2015,36195,Loop Service
2015,249,General Repair
2015,43676,Loop Service
2015,100233,Loop Service
2015,30874,Loop Service
2015,53910,Loop Service
2015,66309,Loop Service
2015,52436,Loop Service
2015,6658,General Repair
2015,73374,Loop Service
2015,34808,General Repair
2015,31513,Loop Service
2015,20314,Loop Service
2015,16847,Loop Service
2015,5475,Loop Service
2015,71294,Loop Service
2015,32846,General Repair
2015,89099,Loop Service
2015,105124,Loop Service
2015,84019,Loop Service
2015,70988,Loop Service
2015,81,General Repair
2015,69873,Loop Service
2015,43093,General Repair
2015,52,General Repair
2015,14812,Loop Service
2015,49420,Loop Service
2015,41978,General Repair
2015,50412,Loop Service
2015,69450,Loop Service
2015,28,General Repair
2015,44009,Loop Service
2015,49,Loop Service
2015,33830,Loop Service
2015,11253,General Repair
2015,32406,Loop Service
2015,40225,General Repair
2015,33237,General Repair
2015,38528,Loop Service
2015,17124,General Repair
2015,47985,Loop Service
2015,33609,Loop Service
2015,20459,Loop Service
2015,29604,Loop Service
2015,109784,Loop Service
2015,242,General Repair
2015,18178,General Repair
2015,261,General Repair
2015,111324,Loop Service
2015,7432,General Repair
2015,7421,General Repair
2015,5000,General Repair
2015,12131,Loop Service
2015,262,General Repair
2015,27653,Loop Service
2015,53856,Loop Service
2015,8586,General Repair
2015,39627,Loop Service
2015,277,General Repair
2015,28,General Repair
2015,57,General Repair
2015,43967,Loop Service
2015,17035,Loop Service
2015,16170,General Repair
2015,50272,General Repair
2015,28,General Repair
2015,20707,Loop Service
2015,22796,General Repair
2015,531,General Repair
2015,268,General Repair
2015,16283,General Repair
2015,76,General Repair
2015,36,General Repair
2015,79856,Loop Service
2015,23302,Loop Service
2015,261,General Repair
2014,23570,General Repair
2014,11983,General Repair
2014,27490,General Repair
2014,9846,General Repair
2014,21931,General Repair
2014,5044,General Repair
2014,45836,Loop Service
2014,73346,General Repair
2014,85947,Loop Service
2014,15888,Loop Service
